Family Number	Protein Family
10088	TASOR family
10089	TatA/E family
10090	TatA/E family. TatE subfamily
10091	TatB family
10092	TatC family
10093	taxilin family
10094	TBATA family
10095	TBCA family
10096	TBCB family
10097	TBCC family
10098	TBCD family
10099	TBCE family
10100	TBP family
10101	TbpB family
10102	TbpB family. Isotype I subfamily
10103	TbpB family. Isotype II subfamily
10104	TBRG1 family
10105	TcaA family
10106	TCAB1 family
10107	TCAF family
10108	TCEANC2 family
10109	TCF/LEF family
10110	TCF25 family
10111	TCHP family
10112	TCL1 family
10113	TCP-1 chaperonin family
10114	TCP-1 chaperonin family. BBS12 subfamily
10115	TCP10 family
10116	TCP11 family
10117	TCTA family
10118	TCTP family
10119	TDA11 family
10120	TDA2 family
10121	TDA3 family
10122	TDD superfamily. DTWD1 family
10123	TDD superfamily. DTWD2 family
10124	TDD superfamily. DTWD2 family. TapT subfamily
10125	TDD superfamily. TSR3 family
10126	TDE1 family
10127	TdeIII type II restriction endonuclease family
10128	TDH hemolysin family
10129	Tdpoz family
10130	TDRD1 family
10131	TDRD5 family
10132	TDRD7 family
10133	Tdrkh family
10134	TDRP family
10135	teashirt C2H2-type zinc-finger protein family
10136	TEC1 family
10137	TECPR1 family
10138	tectonic family
10139	tectonin family
10140	TEFM family
10141	TehB family
10142	tektin family
10143	TEL2 family
10144	TelA family
10145	tellurite-resistance/dicarboxylate transporter (TDT) family
10146	telombin family
10147	TEN1 family
10148	TenA family
10149	tenascin family
10150	tenascin family. Teneurin subfamily
10151	TENT family
10152	tenuiviruses NCP family
10153	tenuiviruses nucleocapsid protein family
10154	tenuiviruses p3 protein family
10155	tenuiviruses pc4 protein family
10156	Tequatrovirus DNA helicase assembly protein family
10157	Tequatrovirus large terminase family
10158	Tequatrovirus RNA ligase 1 family
10159	Tequatrovirus single-stranded DNA-binding protein family
10160	TER reductase family
10161	TERB1 family
10162	TERB2 family
10163	TerC family
10164	terminase small subunit family
10165	terpene cyclase/mutase family
10166	terpene synthase family
10167	terpene synthase family. 2-methylisoborneol synthase subfamily
10168	terpene synthase family. Tpsa subfamily
10169	terpene synthase family. Tpsb subfamily
10170	terpene synthase family. Tpsc subfamily
10171	terpene synthase family. Tpsd subfamily
10172	terpene synthase family. Tpse subfamily
10173	terpene synthase family. Tpsf subfamily
10174	terpene synthase family. Tpsg subfamily
10175	Teseptimavirus DNA helicase/primase family
10176	TET family
10177	TET family. JBP1 subfamily
10178	tetherin family
10179	tetrahydrofolate dehydrogenase/cyclohydrolase family
10180	tetraspanin (TM4SF) family
10181	tetrathionate hydrolase family
10182	tetravirus capsid protein family
10183	tevenvirinae baseplate structural protein gp8 family
10184	Tevenvirinae capsid vertex family
10185	Tevenvirinae Hoc family
10186	Tevenvirinae late transcription coactivator family
10187	Tevenvirinae major capsid protein family
10188	Tevenvirinae NAD(+)--arginine ADP- ribosyltransferase family
10189	Tevenvirinae portal protein family
10190	tevenvirinae short tail fiber protein family
10191	Tevenvirinae sliding clamp family
10192	Tevenvirinae sliding-clamp-loader large subunit family
10193	Tevenvirinae sliding-clamp-loader small subunit family
10194	Tevenvirinae Soc family
10195	tevenvirinae tail fiber protein p36 family
10196	TEX13 family.
10197	TEX15 family
10198	TEX28 family
10199	tfa family
10200	TFB1 family
10201	TFB2 family
10202	TFB4 family
10203	TFB5 family
10204	TFC5 family
10205	TfdA dioxygenase family
10206	TFE family
10207	TFII-I family
10208	TFIIA subunit 1 family
10209	TFIIA subunit 2 family
10210	TFIIB family
10211	TFIIE alpha subunit family
10212	TFIIE beta subunit family
10213	TFIIF alpha subunit family
10214	TFIIF beta subunit family
10215	TFIIIC subunit 1 family
10216	TFIIIC subunit 4 family
10217	TFIIIC subunit 5 family
10218	TFIIIC subunit 6 family
10219	TfoX family
10220	TFP11/STIP family
10221	TFS-II family
10222	TFS-II family. TFA subfamily
10223	Tfx family
10224	TGF-beta family
10225	TGF-beta family. GDNF subfamily
10226	THADA family
10227	THAP1 family
10228	THAP11 family
10229	thaumatin family
10230	THEM4/THEM5 thioesterase family
10231	THEM6 family
10232	themis family
10233	THEP1 NTPase family
10234	thermonuclease family
10235	thermophilic archaeal actin family
10236	THF1 family
10237	THI4 family
10238	thiaminase-2 family
10239	thiamine kinase family
10240	thiamine pyrophosphokinase family
10241	thiamine-monophosphate kinase family
10242	thiamine-phosphate synthase family
10243	thiazole tautomerase family
10244	ThiC family
10245	ThiC family. 5-hydroxybenzimidazole synthase subfamily
10246	ThiD family
10247	ThiG family
10248	ThiI family
10249	ThiN family
10250	thiocillin family
10251	thioester dehydratase family
10252	thioester dehydratase family. FabA subfamily
10253	thioester dehydratase family. FabZ subfamily
10254	thioesterase family
10255	thioesterase PaaI family
10256	thioesterase paaI family
10257	thiolase-like superfamily
10258	thiolase-like superfamily. Beta-ketoacyl-ACP synthases family
10259	thiolase-like superfamily. BioZ family
10260	thiolase-like superfamily. Chalcone/stilbene synthases family
10261	thiolase-like superfamily. FabH family
10262	thiolase-like superfamily. Fungal fatty acid synthetase subunit alpha family
10263	thiolase-like superfamily. HMG-CoA synthase family
10264	thiolase-like superfamily. OleA family
10265	thiolase-like superfamily. Thiolase family
10266	thiolase-like superfamily. UPF0219 family
10267	thioredoxin family
10268	thioredoxin family. DsbA subfamily
10269	thioredoxin family. DsbC subfamily
10270	thioredoxin family. DsbD subfamily
10271	thioredoxin family. DsbE subfamily
10272	thioredoxin family. DsbL subfamily
10273	thioredoxin family. Plant CITRX-type subfamily
10274	thioredoxin family. Plant F-type subfamily
10275	thioredoxin family. Plant H-type subfamily
10276	thioredoxin family. Plant M-type subfamily
10277	thioredoxin family. Plant O-type subfamily
10278	thioredoxin family. Plant Y-type subfamily
10279	thioredoxin family. ResA subfamily
10280	THOC2 family
10281	THOC4 family
10282	THOC5 family
10283	THOC7 family
10284	Thoeris B TIR-like family
10285	THP3 family
10286	thr operon leader peptide family
10287	ThrE exporter (TC 2.A.79) family
10288	threonine aldolase family
10289	threonine synthase family
10290	threonine synthase family. Cysteate synthase subfamily
10291	thrH family
10292	thrombospondin family
10293	ThTPase family
10294	THUMPD1 family
10295	thymidine aminotransferase family
10296	thymidine kinase family
10297	thymidine/pyrimidine-nucleoside phosphorylase family
10298	thymidine/pyrimidine-nucleoside phosphorylase family. Type 2 subfamily
10299	thymidylate kinase family
10300	thymidylate kinase family. 5-hmdU DNA kinase subfamily
10301	thymidylate synthase family
10302	thymidylate synthase family. Archaeal-type ThyA subfamily
10303	thymidylate synthase family. Bacterial-type ThyA subfamily
10304	thymidylate synthase ThyX family
10305	thymopoietin family
10306	thymosin beta family
10307	Thz kinase family
10308	TIAM family
10309	TiaS family
10310	Tic20 family
10311	TIC214 family
10312	Tic22 family
10313	TIFA family
10314	TIFY/JAZ family
10315	tigger transposable element derived protein family
10316	TIKI family
10317	tilB family
10318	TIM14 family
10319	TIM16/PAM16 family
10320	Tim17/Tim22/Tim23 family
10321	Tim17/Tim22/Tim23 family. Plastid outer envelope porin OEP16 (TC 1.B.30) subfamily
10322	TIM21 family
10323	Tim44 family
10324	TIM50 family
10325	TIM54 family
10326	timeless family
10327	TIP family
10328	TIP41 family
10329	Tir receptor family
10330	tissue factor family
10331	TLCD family
10332	TLCD4 family
10333	TLCD5 family
10334	Tlp family
10335	TLS1 family
10336	TLS1 family.
10337	TlyA family
10338	TM2 family
10339	TM6SF family
10340	TMA16 family
10341	TMA20 family
10342	TMA7 family
10343	TMC family
10344	TmcAL family
10345	TMCO1 family
10346	TMCO4 family
10347	TMCO5 family
10348	TMEM1 family
10349	TMEM104 family
10350	TMEM106 family
10351	TMEM11 family
10352	TMEM115 family
10353	TMEM117 family
10354	TMEM120 family
10355	TMEM121 family
10356	TMEM126 family
10357	TMEM127 family
10358	TMEM129 family
10359	TMEM131 family
10360	TMEM132 family
10361	TMEM134/TMEM230 family
10362	TMEM135 family
10363	TMEM138 family
10364	TMEM14 family
10365	TMEM141 family
10366	TMEM144 family
10367	TMEM147 family
10368	TMEM151 family
10369	TMEM161 family
10370	TMEM164 family
10371	TMEM17 family
10372	TMEM170 family
10373	TMEM173 family
10374	TMEM175 family
10375	TMEM176 family
10376	TMEM178 family
10377	TMEM18 family
10378	TMEM182 family
10379	TMEM184 family
10380	TMEM185 family
10381	TMEM186 family
10382	TMEM19 family
10383	TMEM191 family
10384	TMEM192 family
10385	TMEM198 family
10386	TMEM20 family
10387	TMEM200 family
10388	TMEM201 family
10389	TMEM205 family
10390	TMEM208 family
10391	TMEM211 family
10392	TMEM214 family
10393	TMEM223 family
10394	TMEM229 family
10395	TMEM231 family
10396	TMEM234 family
10397	TMEM237 family
10398	TMEM240 family
10399	TMEM242 family
10400	TMEM243 family
10401	TMEM248 family
10402	TMEM255 family
10403	TMEM256 family
10404	TMEM260 family
10405	TMEM263 family
10406	TMEM38 family
10407	TMEM39 family
10408	TMEM41 family
10409	TMEM43 family
10410	TMEM45 family
10411	TMEM47 family
10412	TMEM53 family
10413	TMEM54 family
10414	TMEM56 family
10415	TMEM59 family
10416	TMEM7 family
10417	TMEM70 family
10418	TMEM71 family
10419	TMEM74 family
10420	TMEM8 family
10421	TMEM82 family
10422	TMEM86 family
10423	TMEM9 family
10424	TMEM95 family
10425	TMEM97/sigma-2 receptor family
10426	TMEM98 family
10427	TmoA/XamoA family
10428	TmoB/XamoB family
10429	TmoD/XamoD family
10430	TmoE/XamoE family
10431	TMTC family
10432	TNF receptor-associated factor family
10433	TNF receptor-associated factor family. A subfamily
10434	TNF receptor-associated factor family. B subfamily
10435	TNFAIP8 family
10436	TNFAIP8 family. TNFAIP8L2 subfamily
10437	TNFR8 family
10438	To A.aeolicus AQ_054
10439	To A.aeolicus AQ_155
10440	To A.aeolicus aq_328
10441	To A.aeolicus AQ_377
10442	To A.aeolicus aq_616
10443	To A.aeolicus aq_820 and aq_1211
10444	To A.aeolicus aq_820 and aq_1583
10445	To A.calcoaceticus putative ferredoxin
10446	To A.eutrophus CnrR
10447	To A.eutrophus CnrY
10448	To A.eutrophus CzcN
10449	To A.fulgidus AF1212
10450	To A.fulgidus AF1717
10451	To A.fulgidus AF1754
10452	To A.fulgidus AF1864
10453	To A.fulgidus AF2058
10454	To A.fulgidus AF_0255 and AF_1348
10455	To A.fulgidus DsrD
10456	To A.fulica achacin protein
10457	To A.kurodai aplysianin-A
10458	To A.liquefaciens L-sorbosone dehydrogenase
10459	To A.muscaria DOPA 4,5-dioxygenase
10460	To A.pernix APE2001
10461	To A.rhizogenes plasmid pRia4B ORF-3 in virA region
10462	To A.rhizogenes possible replication protein C (RepC)
10463	To A.thaliana At2g20940
10464	To A.tumefaciens Ti plasmid conjugal transfer region I ORFR2 and ORFR3
10465	To A.tumefaciens Ti plasmid TraB
10466	To A.tumefaciens Ti plasmid TraC
10467	To A.tumefaciens Ti plasmid TraM
10468	To A.tumefaciens Ti plasmid TrbH
10469	To A.tumefaciens Ti plasmid TrbK
10470	To A.xylinum IS1268 ORFA
10471	To A.xylosoxydans NccN
10472	To A.xylosoxydans NccX
10473	To A.xylosoxydans NccY
10474	To ADP-ribosyltransferase C3 of Clostridium
10475	To avirulence B protein of the same strain
10476	To avirulence C protein of the same strain
10477	To B.anthracis BA1245
10478	To B.burgdorferi BB024
10479	To B.burgdorferi BBD15
10480	To B.burgdorferi BBF20
10481	To B.cereus BC1230
10482	To B.cereus similar ORF in glnR 5'region
10483	To B.licheniformis xpaF1 and to B.subtilis XhlA
10484	To B.licheniformis xpaF1 and xpaL1
10485	To B.licheniformis xpaL1 and to B.subtilis XhlA
10486	To B.megaterium SpoIV
10487	To B.natto SenN
10488	To B.pertussis prn N-terminal region
10489	To B.solanacearum EpsB
10490	To B.subtilis Abh and SpoVT
10491	To B.subtilis AbrB and Abh
10492	To B.subtilis AbrB and SpoVT
10493	To B.subtilis ComEC
10494	To B.subtilis ComEC, H.influenzae REC2, and E.coli YcaI
10495	To B.subtilis ComEC, N.gonorrhoeae ComA, and H.influenzae Rec2
10496	To B.subtilis CotY
10497	To B.subtilis CotZ
10498	To B.subtilis GlpP
10499	To B.subtilis NasE
10500	To B.subtilis NucA/ComI
10501	To B.subtilis NucB
10502	To B.subtilis OxdC
10503	To B.subtilis OxdD
10504	To B.subtilis RocB
10505	To B.subtilis SafA
10506	To B.subtilis SenS
10507	To B.subtilis soj
10508	To B.subtilis SpaB and L.lactis NisB
10509	To B.subtilis SpaB and S.epidermidis EpiB
10510	To B.subtilis SpaC and L.lactis NisC
10511	To B.subtilis SpaC and S.epidermidis EpiC
10512	To B.subtilis spore coat polysaccharide biosynthesis protein SpsA
10513	To B.subtilis SpoVR
10514	To B.subtilis SpoVT
10515	To B.subtilis SpsE
10516	To B.subtilis XkdF
10517	To B.subtilis XkdH
10518	To B.subtilis XkdI
10519	To B.subtilis XkdM
10520	To B.subtilis XkdN
10521	To B.subtilis XkdO
10522	To B.subtilis XkdR
10523	To B.subtilis XkdS
10524	To B.subtilis XkdU
10525	To B.subtilis XkdW
10526	To B.subtilis XkdX
10527	To B.subtilis XtmB and phage SPP1 terminase large subunit
10528	To B.subtilis XtrA
10529	To B.subtilis YcdB
10530	To B.subtilis YcdC
10531	To B.subtilis YcgA
10532	To B.subtilis YfjD
10533	To B.subtilis YfjE
10534	To B.subtilis YhaP
10535	To B.subtilis YnaI in the C-terminal section
10536	To B.subtilis YncM
10537	To B.subtilis YpdA
10538	To B.subtilis YpjC, YqfU and YitT
10539	To B.subtilis YpjQ
10540	To B.subtilis YqaB
10541	To B.subtilis YqaM
10542	To B.subtilis YqaO
10543	To B.subtilis YqaS and B.subtilis phage SPP1 terminase small subunit
10544	To B.subtilis YqaT and phage SPP1 terminase large subunit
10545	To B.subtilis YqbD
10546	To B.subtilis YqbH
10547	To B.subtilis YqbI
10548	To B.subtilis YqbM
10549	To B.subtilis YqbN
10550	To B.subtilis YqbO
10551	To B.subtilis YqbR
10552	To B.subtilis YqbS
10553	To B.subtilis YqcA
10554	To B.subtilis YqcC
10555	To B.subtilis YqcE
10556	To B.subtilis YqcK
10557	To B.subtilis YqeW
10558	To B.subtilis YqfD
10559	To B.subtilis YqxC and T.hyodysenteriae hemolysin TlyA
10560	To B.subtilis YrdB
10561	To B.subtilis YrhD
10562	To B.subtilis YrpD
10563	To B.subtilis YsxB
10564	To B.subtilis YutG
10565	To B.subtilis YvsG
10566	To B.subtilis YwfA
10567	To B.subtilis YwiC
10568	To B.subtilis YwjB
10569	To B.subtilis YwkD
10570	To B.subtilis YwmC
10571	To B.subtilis YwmD
10572	To B.subtilis YxaH and YrkO
10573	To B.subtilis YxjG
10574	To B.subtilis YxjH
10575	To B.subtilis YyaP
10576	To bacterial alkanal monooxygenase alpha and beta chains
10577	To bacterial flavocytochrome p-cresol methyl hydroxylase
10578	To bacterial outer membrane proteins and porins
10579	To bacterial proteins yidD
10580	To C.albicans ALS1
10581	To C.botulinum D and C phages exoenzyme C3, and to S.aureus EdiN
10582	To C.elegans B0495.5
10583	To C.elegans C05E11.1
10584	To C.elegans C41C4.1 and C18B2.1
10585	To C.elegans C41C4.1 and C18B2.2
10586	To C.jejuni CJ0253
10587	To C.pasteurianum MOP proteins
10588	To C.perfringens CPE1502
10589	To C.perfringens pIP404 ORF10
10590	To C.plantagineum desiccation-related protein clone PCC3- 06
10591	To C.vinosum CV1 and CV2
10592	To C.vinosum CV1 and T.roseopersicina TR0
10593	To C.vinosum CV2 and T.roseopersicina TR0
10594	To carrot DC2.15 and PEMB3
10595	To cation A.eutrophus efflux system protein CzcD
10596	To chloroplast ycf18
10597	To D.melanogaster UGGG
10598	To D.vulgaris DsvD
10599	To dTDP-4-dehydrorhamnose reductase
10600	To E.chrysanthemi OutS
10601	To E.coli AfaD
10602	To E.coli AfaF and DaaF
10603	To E.coli AggB
10604	To E.coli AmpG and yeast YBR220c
10605	To E.coli and S.aureus ethidium bromide resistance proteins (ebr/QacC/EmrE/MvrC)
10606	To E.coli capsule polysaccharide export protein KpsC
10607	To E.coli CvpA
10608	To E.coli EnvD
10609	To E.coli FdrA and some, to bacterial SucD
10610	To E.coli formate hydrogenlyase hydrogenase isozyme 3 and to bovine mitochondrial NADH-ubiquinone oxidoreductase
10611	To E.coli FtsN repeat regions
10612	To E.coli GltF
10613	To E.coli HemX C-terminal region
10614	To E.coli HemX N-terminal region
10615	To E.coli HycH
10616	To E.coli HyfJ
10617	To E.coli K1 KpsD
10618	To E.coli K5 KpsD
10619	To E.coli KleA (KcrA1)
10620	To E.coli KleC (kcrB1)
10621	To E.coli MalM
10622	To E.coli MazG and to plasmid pIP1100 erythromycin esterase
10623	To E.coli MbaA and MbkA
10624	To E.coli MbaB and MbkB
10625	To E.coli MbaC and MbkC
10626	To E.coli MbaD and MbkD
10627	To E.coli McbC which is involved in the processing of microcin B17 (MCCB17)
10628	To E.coli molybdate metabolism regulator (MolR)
10629	To E.coli PapI and DaaF
10630	To E.coli plasmid IncP-alpha RP4 protein TraN
10631	To E.coli prophage CP4-57 regulatory protein alpA
10632	To E.coli recD (exonuclease V)
10633	To E.coli RlpA
10634	To E.coli rzpQ
10635	To E.coli SanA
10636	To E.coli YaaX
10637	To E.coli YafY
10638	To E.coli YagK
10639	To E.coli YahC
10640	To E.coli YahF and some, to bacterial SucD
10641	To E.coli YahG
10642	To E.coli YajG
10643	To E.coli YbcV and YcgX
10644	To E.coli YbcV and YdfO
10645	To E.coli YbdD
10646	To E.coli YbeQ
10647	To E.coli YbeR
10648	To E.coli YbeT
10649	To E.coli YbeU
10650	To E.coli YbfG
10651	To E.coli YbhN
10652	To E.coli YcbK
10653	To E.coli YcdZ
10654	To E.coli YceK
10655	To E.coli YcgB
10656	To E.coli YcgX and YdfO
10657	To E.coli YcjD and H.influenzae HI_0925
10658	To E.coli YcjD and H.influenzae HI_1162
10659	To E.coli YcjX
10660	To E.coli YcjY
10661	To E.coli YdaF
10662	To E.coli YdbD C-terminal region
10663	To E.coli YdcF
10664	To E.coli ydcQ
10665	To E.coli YdfA
10666	To E.coli YdgA and H.influenzae HI_1236
10667	To E.coli YdgA and YihF
10668	To E.coli YdgC
10669	To E.coli YdiE
10670	To E.coli YdjM
10671	To E.coli YdjR
10672	To E.coli YeaC
10673	To E.coli YeaO
10674	To E.coli YebB
10675	To E.coli YebE
10676	To E.coli YecM
10677	To E.coli YecT
10678	To E.coli YehR
10679	To E.coli YeiB, B.subtilis YxaH and B.subtilis YrkO
10680	To E.coli YejM
10681	To E.coli YfaL
10682	To E.coli YfaT and P.aeruginosa PA4490
10683	To E.coli YfaT and T.maritima TM0986
10684	To E.coli YfcC and H.influenzae HI_0594
10685	To E.coli YfcO
10686	To E.coli YfdK
10687	To E.coli YfeH
10688	To E.coli YfhJ
10689	To E.coli YfiI and P.aeruginosa RluD
10690	To E.coli YfjJ
10691	To E.coli YfjP and YeeP
10692	To E.coli YfjS
10693	To E.coli YgdI
10694	To E.coli YgdR
10695	To E.coli YgfZ (UP14) and B.aphidicola (subsp. Acyrthosiphon pisum) BU435
10696	To E.coli YggL
10697	To E.coli YgiM
10698	To E.coli YgiW
10699	To E.coli YhaH
10700	To E.coli YhaI
10701	To E.coli YhcB
10702	To E.coli YhcF
10703	To E.coli YhdT
10704	To E.coli YheO
10705	To E.coli YhgE
10706	To E.coli YhiN
10707	To E.coli YhjD
10708	To E.coli YiaW
10709	To E.coli YibI
10710	To E.coli YibQ
10711	To E.coli YidH
10712	To E.coli YidQ
10713	To E.coli YifN
10714	To E.coli YihD
10715	To E.coli YihF and H.influenzae HI_1236
10716	To E.coli YihN
10717	To E.coli YiiX
10718	To E.coli YjaG
10719	To E.coli YjbB
10720	To E.coli YjbF
10721	To E.coli YjbG
10722	To E.coli YjfY
10723	To E.coli YjfZ
10724	To E.coli YjiB
10725	To E.coli YjiC
10726	To E.coli YjiX
10727	To E.coli YjjI
10728	To E.coli YkfA and YeeP
10729	To E.coli YkgJ
10730	To E.coli YkiA
10731	To E.coli YlbE
10732	To E.coli YmcA
10733	To E.coli YmcB
10734	To E.coli YmcC
10735	To E.coli YmfS
10736	To E.coli YniB
10737	To E.coli YpeC
10738	To E.coli YqcC
10739	To E.coli YqcC in the N-terminal section
10740	To E.coli YqiI
10741	To E.coli YrdD
10742	To E.coli YtfJ
10743	To E.hirae NtpH
10744	To endonucleases of group I introns of fungi and phage
10745	To epsilon-toxin type D
10746	To exoenzymes 3 of C.limosum and C.botulinum C phage, and to S.aureus ediN
10747	To exoenzymes 3 of C.limosum and C.botulinum D phage, and to S.aureus ediN
10748	TO family
10749	To ferredoxins from P.putida and C.tartarivorum, ferredoxin I from A.vinelandii, ferredoxin II from D.desulfuricans
10750	To FlaG in other Vibrio species
10751	To group II intron maturases
10752	To H.influenzae HbpA
10753	To H.influenzae HI_0045
10754	To H.influenzae HI_0162
10755	To H.influenzae HI_0219
10756	To H.influenzae HI_0341
10757	To H.influenzae HI_0431
10758	To H.influenzae HI_0461
10759	To H.influenzae HI_0489
10760	To H.influenzae HI_0521
10761	To H.influenzae HI_0575
10762	To H.influenzae HI_0656.1
10763	To H.influenzae HI_0755
10764	To H.influenzae HI_0842
10765	To H.influenzae HI_0845
10766	To H.influenzae HI_0933
10767	To H.influenzae HI_0974B
10768	To H.influenzae HI_1053 and P.denitrificans COX locus Uncharacterized protein 4
10769	To H.influenzae HI_1119
10770	To H.influenzae HI_1162 and to HI_0925
10771	To H.influenzae HI_1412
10772	To H.influenzae HI_1436
10773	To H.influenzae HI_1582/HI_1581
10774	To H.influenzae HI_1605
10775	To H.influenzae HI_1626
10776	To H.influenzae HI_1628
10777	To H.influenzae HI_1631
10778	To H.influenzae HI_1637
10779	To H.influenzae HI_1666
10780	To H.influenzae HI_1709
10781	To H.influenzae REC2, N.gonorrhoeae ComA and E.coli YcaI
10782	To H.pylori HP0270
10783	To H.pylori HP0274
10784	To H.pylori HP0495/JHP0447
10785	To HAP-P protein
10786	To HAP-S protein
10787	To human CNBP and to retroviral nucleic acid binding proteins (NBP)
10788	To insects allatotropin
10789	To insertion element IS1016 transposase
10790	To K.lactis GAL80
10791	To K.pneumoniae and A.vinelandii NifT proteins and to the N-terminal of R.meliloti MosB protein
10792	To K.pneumoniae LtrA, E.coli YjiE, and YhcS
10793	To K.pneumoniae PulS
10794	To K.pneumoniae RomA
10795	To K.pneumoniae SorE
10796	To L.delbrueckii similar ORF in glnA 5'region
10797	To L.lactis phage infection protein (PIP)
10798	To L.monocytogenes lmo0207
10799	To lambdoid phages excisionases
10800	To M.avium MAV169
10801	To M.bovis LprP
10802	To M.bovis Mb2616c and M.leprae ML0489
10803	To M.extorquens MtdA
10804	To M.genitalium MG148
10805	To M.genitalium MG225
10806	To M.genitalium MG226
10807	To M.genitalium MG233
10808	To M.genitalium MG293
10809	To M.genitalium MG366 and M.pneumoniae MPN544
10810	To M.genitalium MG385
10811	To M.genitalium MG432 and MG443
10812	To M.jannaschii FlaC
10813	To M.jannaschii FlaD, also to FlaE
10814	To M.jannaschii FlaE, also to FlaD
10815	To M.jannaschii FlaH
10816	To M.jannaschii FlaJ
10817	To M.jannaschii MJ0017 and MJ0139.1
10818	To M.jannaschii MJ0043 N-terminal region
10819	To M.jannaschii MJ0047, MJ0162 and MJ1236
10820	To M.jannaschii MJ0084 and MJ0685
10821	To M.jannaschii MJ0084 and MJ0823
10822	To M.jannaschii MJ0123 and A.aeolicus AA15
10823	To M.jannaschii MJ0123 and MJ1213
10824	To M.jannaschii MJ0129 and MJ0554
10825	To M.jannaschii MJ0129 and MJ0587
10826	To M.jannaschii MJ0137
10827	To M.jannaschii MJ0208
10828	To M.jannaschii MJ0233
10829	To M.jannaschii MJ0310 and MJ0714
10830	To M.jannaschii MJ0310 and MJ1340
10831	To M.jannaschii MJ0361
10832	To M.jannaschii MJ0417
10833	To M.jannaschii MJ0526.1
10834	To M.jannaschii MJ0547 and MJ0169
10835	To M.jannaschii MJ0554 and MJ0587
10836	To M.jannaschii MJ0575
10837	To M.jannaschii MJ0578
10838	To M.jannaschii MJ0582
10839	To M.jannaschii MJ0638 and MJ1123 and M.tuberculosis Rv2003c
10840	To M.jannaschii MJ0638 and MJ1252 and M.tuberculosis Rv2003c
10841	To M.jannaschii MJ0638, MJ1123 and MJ1252
10842	To M.jannaschii MJ0640 and MJ0799
10843	To M.jannaschii MJ0644 in the C-terminal section
10844	To M.jannaschii MJ0661
10845	To M.jannaschii MJ0678
10846	To M.jannaschii MJ0706 and Synechocystis PCC 6803 slr1478
10847	To M.jannaschii MJ0717
10848	To M.jannaschii MJ0766
10849	To M.jannaschii MJ0782.1
10850	To M.jannaschii MJ0787
10851	To M.jannaschii MJ0803
10852	To M.jannaschii MJ0826
10853	To M.jannaschii MJ0835.2
10854	To M.jannaschii MJ0838
10855	To M.jannaschii MJ0871, MJ1556 and MJ1589
10856	To M.jannaschii MJ0880, MJ1556 and MJ1589
10857	To M.jannaschii MJ0886 C-terminal region
10858	To M.jannaschii MJ0902
10859	To M.jannaschii MJ0977
10860	To M.jannaschii MJ0989
10861	To M.jannaschii MJ1024
10862	To M.jannaschii MJ1032
10863	To M.jannaschii MJ1062
10864	To M.jannaschii MJ1086 N-terminal region
10865	To M.jannaschii MJ1106
10866	To M.jannaschii MJ1155.1
10867	To M.jannaschii MJ1183
10868	To M.jannaschii MJ1189
10869	To M.jannaschii MJ1199
10870	To M.jannaschii MJ1213 and A.aeolicus AA15
10871	To M.jannaschii MJ1223
10872	To M.jannaschii MJ1244 and M.thermoautotrophicum MTH1110
10873	To M.jannaschii MJ1244 and MJ1245
10874	To M.jannaschii MJ1244 and MJ1245 and M.thermoautotrophicum MTH1110
10875	To M.jannaschii MJ1245 and M.thermoautotrophicum MTH1110
10876	To M.jannaschii MJ1286
10877	To M.jannaschii MJ1311
10878	To M.jannaschii MJ1313
10879	To M.jannaschii MJ1339
10880	To M.jannaschii MJ1436
10881	To M.jannaschii MJ1451
10882	To M.jannaschii MJ1452
10883	To M.jannaschii MJ1453
10884	To M.jannaschii MJ1461
10885	To M.jannaschii MJ1495
10886	To M.jannaschii MJ1503
10887	To M.jannaschii MJ1511
10888	To M.jannaschii MJ1544 and MJ1637
10889	To M.jannaschii MJ1570
10890	To M.jannaschii MJ1580
10891	To M.jannaschii MJ1614 and MJ0008
10892	To M.kandleri MK0008
10893	To M.leprae 28 kDa antigen
10894	To M.leprae L518_C2_147 and M.tuberculosis Rv1524
10895	To M.leprae ML0007
10896	To M.leprae ML0031
10897	To M.leprae ML0378
10898	To M.leprae ML0386
10899	To M.leprae ML0607
10900	To M.leprae ML1138
10901	To M.leprae ML1147
10902	To M.leprae ML1166
10903	To M.leprae ML1171
10904	To M.leprae ML1176
10905	To M.leprae ML1222
10906	To M.leprae ML1584
10907	To M.leprae ML1624
10908	To M.leprae ML1660
10909	To M.leprae ML1998
10910	To M.leprae ML2143
10911	To M.leprae ML2427
10912	To M.leprae ML2432 and M.tuberculosis Rv0498
10913	To M.leprae ML2432 and S.coelicolor SCO3347
10914	To M.leprae ML2442
10915	To M.leprae ML2452
10916	To M.leprae ML2453
10917	To M.leprae U1620K
10918	To M.leprae U650M
10919	To M.paratuberculosis 34 kDa antigenic protein
10920	To M.pneumoniae MPN_095 and MPN_096
10921	To M.pneumoniae MPN_308 C-terminal region
10922	To M.pneumoniae MPN_308 N-terminal region
10923	To M.pneumoniae MPN_335
10924	To M.pneumoniae MPN_456 and M.genitalium MG321 central region
10925	To M.pneumoniae MPN_456 and M.genitalium MG321 N-terminal region
10926	To M.pneumoniae MPN_635 N-terminal region
10927	To M.thermoautotrophicum MTH1137
10928	To M.thermoautotrophicum MTH1153
10929	To M.thermoautotrophicum MTH1236
10930	To M.thermoautotrophicum MTH137
10931	To M.thermoautotrophicum MTH1421
